# accelerometer data
# file: 'rgbd_dataset_freiburg2_pioneer_slam3.bag'
# timestamp ax ay az
1311877976.491870 0.598697 9.447432 -1.257263
1311877976.492858 0.598697 9.447432 -1.257263
1311877976.496475 0.407114 9.279797 -1.353054
1311877976.497469 0.407114 9.279797 -1.353054
1311877976.500810 0.598697 9.471380 -1.353054
1311877976.501729 0.598697 9.471380 -1.353054
1311877976.505004 0.706462 9.279797 -1.448846
1311877976.506364 0.706462 9.279797 -1.448846
1311877976.509604 0.407114 9.184006 -1.544637
1311877976.510624 0.407114 9.184006 -1.544637
1311877976.511888 0.407114 9.184006 -1.544637
1311877976.512875 0.407114 9.184006 -1.544637
1311877976.516529 0.706462 9.471380 -1.353054
1311877976.517515 0.706462 9.471380 -1.353054
1311877976.520880 0.407114 9.136110 -1.520689
1311877976.521886 0.407114 9.136110 -1.520689
1311877976.525508 0.407114 9.471380 -1.353054
1311877976.526505 0.407114 9.471380 -1.353054
1311877976.529766 0.502905 9.471380 -1.448846
1311877976.530785 0.502905 9.471380 -1.448846
1311877976.532262 0.502905 9.471380 -1.448846
1311877976.533368 0.502905 9.471380 -1.448846
1311877976.536780 0.371192 9.279797 -1.353054
1311877976.539744 0.598697 9.375588 -1.209367
1311877976.540766 0.598697 9.375588 -1.209367
1311877976.544384 0.598697 9.279797 -1.209367
1311877976.545383 0.598697 9.279797 -1.209367
1311877976.546500 0.598697 9.279797 -1.209367
1311877976.549751 0.395140 9.279797 -1.257263
1311877976.550764 0.395140 9.279797 -1.257263
1311877976.554370 0.502905 9.567171 -1.161471
1311877976.555346 0.502905 9.567171 -1.161471
1311877976.556618 0.502905 9.567171 -1.161471
1311877976.557602 0.502905 9.567171 -1.161471
1311877976.560875 0.395140 9.279797 -1.353054
1311877976.561865 0.395140 9.279797 -1.353054
1311877976.565383 0.407114 9.471380 -1.353054
1311877976.566510 0.407114 9.471380 -1.353054
1311877976.569633 0.754358 9.471380 -1.353054
1311877976.570777 0.754358 9.471380 -1.353054
1311877976.571910 0.754358 9.471380 -1.353054
1311877976.572872 0.754358 9.471380 -1.353054
1311877976.576507 0.395140 9.279797 -1.544637
1311877976.577475 0.395140 9.279797 -1.544637
1311877976.580776 0.407114 9.471380 -1.448846
1311877976.581892 0.407114 9.471380 -1.448846
1311877976.585382 0.407114 9.279797 -1.353054
1311877976.586496 0.407114 9.279797 -1.353054
1311877976.589631 0.407114 9.136110 -1.448846
1311877976.590767 0.407114 9.136110 -1.448846
1311877976.591910 0.407114 9.136110 -1.448846
1311877976.592994 0.407114 9.136110 -1.448846
1311877976.596634 0.706462 9.459406 -1.257263
1311877976.597633 0.706462 9.459406 -1.257263
1311877976.600873 0.407114 9.088214 -1.448846
1311877976.601882 0.407114 9.088214 -1.448846
1311877976.605519 0.419088 9.471380 -1.161471
1311877976.606655 0.419088 9.471380 -1.161471
1311877976.609737 0.598697 9.471380 -1.353054
1311877976.610759 0.598697 9.471380 -1.353054
1311877976.614408 0.407114 9.088214 -1.257263
1311877976.615384 0.407114 9.088214 -1.257263
1311877976.616621 0.407114 9.088214 -1.257263
1311877976.617597 0.407114 9.088214 -1.257263
1311877976.620752 0.754358 9.471380 -1.257263
1311877976.621767 0.754358 9.471380 -1.257263
1311877976.625384 0.502905 9.279797 -1.353054
1311877976.626472 0.502905 9.279797 -1.353054
1311877976.629621 0.407114 9.279797 -1.496741
1311877976.630720 0.407114 9.279797 -1.496741
1311877976.632023 0.407114 9.279797 -1.496741
1311877976.632993 0.407114 9.279797 -1.496741
1311877976.636507 0.754358 9.471380 -1.353054
1311877976.637615 0.754358 9.471380 -1.353054
1311877976.640749 0.407114 9.279797 -1.448846
1311877976.641884 0.407114 9.279797 -1.448846
1311877976.645354 0.455009 9.375588 -1.544637
1311877976.646505 0.455009 9.375588 -1.544637
1311877976.649625 0.790279 9.471380 -1.353054
1311877976.650759 0.790279 9.471380 -1.353054
1311877976.652011 0.790279 9.471380 -1.353054
1311877976.652975 0.790279 9.471380 -1.353054
1311877976.656505 0.407114 9.184006 -1.496741
1311877976.657610 0.407114 9.184006 -1.496741
1311877976.660878 0.790279 9.471380 -1.161471
1311877976.662007 0.790279 9.471380 -1.161471
1311877976.665385 0.598697 9.375588 -1.161471
1311877976.666631 0.598697 9.375588 -1.161471
1311877976.669619 0.431062 9.279797 -1.353054
1311877976.670762 0.431062 9.279797 -1.353054
1311877976.672008 0.431062 9.279797 -1.353054
1311877976.672989 0.431062 9.279797 -1.353054
1311877976.676478 0.802253 9.459406 -1.448846
1311877976.677606 0.802253 9.459406 -1.448846
1311877976.680883 0.455009 9.136110 -1.353054
1311877976.681900 0.455009 9.136110 -1.353054
1311877976.685499 0.598697 9.375588 -1.257263
1311877976.686512 0.598697 9.375588 -1.257263
1311877976.689743 0.598697 9.471380 -1.209367
1311877976.690755 0.598697 9.471380 -1.209367
1311877976.691867 0.598697 9.471380 -1.209367
1311877976.692847 0.598697 9.471380 -1.209367
1311877976.696609 0.371192 9.279797 -1.353054
1311877976.697546 0.371192 9.279797 -1.353054
1311877976.700756 0.706462 9.471380 -1.257263
1311877976.701924 0.706462 9.471380 -1.257263
1311877976.705394 0.598697 9.279797 -1.496741
1311877976.706491 0.598697 9.279797 -1.496741
1311877976.707470 0.598697 9.279797 -1.496741
1311877976.710760 0.407114 9.375588 -1.496741
1311877976.711741 0.407114 9.375588 -1.496741
1311877976.715365 0.598697 9.471380 -1.448846
1311877976.716379 0.598697 9.471380 -1.448846
1311877976.719680 0.407114 9.375588 -1.496741
1311877976.720747 0.407114 9.375588 -1.496741
1311877976.721866 0.407114 9.375588 -1.496741
1311877976.722991 0.407114 9.375588 -1.496741
1311877976.726607 0.598697 9.471380 -1.161471
1311877976.727483 0.598697 9.471380 -1.161471
1311877976.730748 0.598697 9.459406 -1.353054
1311877976.731751 0.598697 9.459406 -1.353054
1311877976.735519 0.323296 9.184006 -1.448846
1311877976.736488 0.323296 9.184006 -1.448846
1311877976.739626 0.598697 9.423484 -1.353054
1311877976.740778 0.598697 9.423484 -1.353054
1311877976.742011 0.598697 9.423484 -1.353054
1311877976.743008 0.598697 9.423484 -1.353054
1311877976.746509 0.598697 9.184006 -1.353054
1311877976.747499 0.598697 9.184006 -1.353054
1311877976.750756 0.371192 9.375588 -1.209367
1311877976.751863 0.371192 9.375588 -1.209367
1311877976.755399 0.790279 9.471380 -1.257263
1311877976.756372 0.790279 9.471380 -1.257263
1311877976.759729 0.598697 9.279797 -1.448846
1311877976.760743 0.598697 9.279797 -1.448846
1311877976.761869 0.598697 9.279797 -1.448846
1311877976.762994 0.598697 9.279797 -1.448846
1311877976.766635 0.502905 9.471380 -1.448846
1311877976.767498 0.502905 9.471380 -1.448846
1311877976.770882 0.598697 9.447432 -1.353054
1311877976.771749 0.598697 9.447432 -1.353054
1311877976.775502 0.407114 9.112162 -1.496741
1311877976.776371 0.407114 9.112162 -1.496741
1311877976.779628 0.419088 9.375588 -1.353054
1311877976.780753 0.419088 9.375588 -1.353054
1311877976.781873 0.419088 9.375588 -1.353054
1311877976.783371 0.419088 9.375588 -1.353054
1311877976.786627 0.407114 9.375588 -1.448846
1311877976.787601 0.407114 9.375588 -1.448846
1311877976.790875 0.407114 9.279797 -1.496741
1311877976.791848 0.407114 9.279797 -1.496741
1311877976.795476 0.598697 9.519276 -1.209367
1311877976.796617 0.598697 9.519276 -1.209367
1311877976.799778 0.419088 9.184006 -1.353054
1311877976.800756 0.419088 9.184006 -1.353054
1311877976.802004 0.419088 9.184006 -1.353054
1311877976.803378 0.419088 9.184006 -1.353054
1311877976.806628 0.598697 9.471380 -1.353054
1311877976.807625 0.598697 9.471380 -1.353054
1311877976.810866 0.598697 9.471380 -1.257263
1311877976.811860 0.598697 9.471380 -1.257263
1311877976.815615 0.407114 9.184006 -0.969888
1311877976.816544 0.407114 9.184006 -0.969888
1311877976.819752 0.407114 9.471380 -1.161471
1311877976.820762 0.407114 9.471380 -1.161471
1311877976.822011 0.407114 9.471380 -1.161471
1311877976.823375 0.407114 9.471380 -1.161471
1311877976.826627 0.407114 9.184006 -1.173445
1311877976.827720 0.407114 9.184006 -1.173445
1311877976.831167 0.706462 10.237712 -1.257263
1311877976.832224 0.706462 10.237712 -1.257263
1311877976.833352 0.706462 10.237712 -1.257263
1311877976.837056 0.023948 10.572982 -3.077300
1311877976.837884 0.023948 10.572982 -3.077300
1311877976.841630 1.089628 8.609257 -3.460466
1311877976.842761 1.089628 8.609257 -3.460466
1311877976.846611 1.951751 9.279797 -1.173445
1311877976.847742 1.951751 9.279797 -1.173445
1311877976.851374 -0.167635 8.130300 0.371192
1311877976.854552 -0.167635 8.896631 -0.011974
1311877976.855495 -0.167635 8.896631 -0.011974
